STATION,NAME,DATE,AWND,PRCP,TAVG,TMAX,TMIN,FOG,HEAVY FOG,THUNDER,ICE PELLETS,HAIL,SMOKE OR HAZE
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2021-06-04,3.80,0.00,76,85,68,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2021-06-05,4.25,0.83,78,87,73,1,,1,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2021-06-06,4.47,0.08,78,87,72,,,1,,,1
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2021-06-07,7.38,0.06,76,86,71,1,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2021-06-08,6.71,0.41,77,87,70,1,,1,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2021-06-09,5.59,0.12,75,86,70,1,,1,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2021-06-10,6.93,0.10,75,85,70,1,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2021-06-11,7.83,0.48,76,85,72,1,,1,,,1
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2021-06-12,9.84,0.00,78,89,72,,,1,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2021-06-13,5.82,0.00,79,89,71,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2021-06-14,6.04,0.01,81,92,73,,,1,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2021-06-15,10.51,0.00,80,90,71,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2021-06-16,7.61,0.00,76,87,64,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2021-06-17,5.37,0.00,77,89,65,,,,,,
